a 呀
kaeru 替
kaeru 楙
kaeru 歸
kaeru 皈
kaeru 蛙
kaeru 貿
kaeru 返
kaeru 逥
kaeru 還
kaeru 鼃
kaesu 反
kaesu 孵
kaesu 復
kaesu 繳
kaesu 返
kaette 却
kaette 卻
kagameru 屈
kagami 獍
kagami 鍳
kagami 鏡
kagami 鑑
kagami 鑒
kagamida 魴
kagamu 傛
kagamu 傴
kagamu 僂
kagamu 冤
kagamu 寃
kagamu 屈
kagamu 跔
kagamu 踠
kagamu 踡
kagari 篝
kagaribi 尞
kagaribi 烘
kagaribi 燎
kagayaki 輝
kagayakiutsukushii 暀
kagayaku 倝
kagayaku 暉
kagayaku 曄
kagayaku 曅
kagayaku 曜
kagayaku 焜
kagayaku 煌
kagayaku 煜
kagayaku 熿
kagayaku 燿
kagayaku 爀
kagayaku 耀
kagayaku 赫
kagayaku 輝
kage 侌
kage 庥
kage 廕
kage 影
kage 景
kage 晷
kage 蔭
kage 阥
kage 陰
kage 隂
kageeru 阥
kageeru 隂
kagerou 蜏
kageru 侌
kageru 晹
kageru 翳
kageru 陰
kagi 亅
kagi 剳
kagi 劄
kagi 勾
kagi 箚
kagi 鈎
kagi 鉤
kagi 鍵
kagi 鎰
kagi 鑰
kagibana 鼼
kagibana 齁
kagiri 鄂
kagiri 限
kagiru 画
kagiru 畫
kagiru 畵
kagiru 縭
kagiru 阸
kagiru 限
kago 圌
kago 筐
kago 筤
kago 筺
kago 箄
kago 篭
kago 簽
kago 籃
kago 籚
kago 籝
kago 籠
kago 轎
kagu 傢
kagu 嗅
kagu 臭
kagu 齅
kaguwashii 郁
kahara 塼
kaharake 堥
kaharugaharu 佽
kahikonosu 筁
kai 枻
kai 栧
kai 艣
kai 艪
kai 蛽
kai 貝
kaibaoke 槽
kaibaoke 櫪
kaibaoke 篼
kaichiyuu 蚘
kaichiyuu 蛕
kaigarabone 髆
kaigaraho 胛
kaiko 蚕
kaiko 蝅
kaiko 蠶
kaiko 蠺
kaina 厷
kaina 腕
kairi 浬
kaiyone 糴
kaji 柁
kaji 柂
kaji 梶
kaji 楫
kaji 榜
kaji 槳
kaji 橈
kaji 檝
kaji 櫂
kaji 舵
kajika 鮖
kajika 鰍
kajiki 鱏
kajiki 鱘
kajiko 鮖
kajiru 啮
kajiru 噛
kajiru 嚙
kajiru 齧
kajiru 齩
kaka 嚊
kaka 嬶
kakaeru 抱
kakageru 挑
kakageru 掀
kakageru 掦
kakageru 掲
kakageru 揎
kakageru 揭
kakaharusama 偓
kakari 掛
kakaru 係
kakaru 懸
kakaru 掛
kakaru 架
kakaru 県
kakaru 絓
kakaru 縣
kakaru 罹
kakato 踹
kakau 嬶
kakawaru 係
kakawaru 拘
kakawaru 涉
kakawaru 渉
kakawaru 関
kake 賭
kakeba 齓
kakehashi 栈
kakehashi 桟
kakehashi 棧
kakei 筧
kakemono 幀
kakeneosuru 傿
kakeru 亏
kakeru 叀
kakeru 懸
kakeru 拎
kakeru 挂
kakeru 掛
kakeru 架
kakeru 欠
kakeru 玷
kakeru 県
kakeru 縣
kakeru 繋
kakeru 繫
kakeru 缺
kakeru 罣
kakeru 罥
kakeru 翔
kakeru 翺
kakeru 膄
kakeru 虧
kakeru 觖
kakeru 賭
kakeru 鈎
kakeru 鉤
kakeru 闕
kakeru 駆
kakeru 駈
kakeru 騫
kakeru 驅
kakesu 鵥
kaki 垣
kaki 埒
kaki 堳
kaki 堵
kaki 塀
kaki 墉
kaki 墻
kaki 廆
kaki 廦
kaki 枾
kaki 柹
kaki 柿
kaki 牆
kaki 硴
kaki 籬
kaki 蛎
kaki 蠔
kaki 蠣
kaki 闤
kakiatsumeru 捊
kakiatsumeru 穌
kakiiro 韞
kakimazeru 拌
kakimazerutsutsumi 坋
kakimono 帖
kakimono 牘
kakinarasu 諤
kakine 牅
kakiutsusu 冩
kakoi 囲
kakoi 圈
kakoi 圏
kakoi 埒
kakoi 埓
kakomi 栫
kakomu 囗
kakomu 囲
kakomu 圍
kakomu 淮
kakotsu 唧
kakotsu 喞
kakotsu 詫
kakotsukeru 寓
kakotsukeru 託
kakotsukeru 諈
kakotsukeru 讬
kakou 囲
kaku 掊
kaku 掻
kaku 搔
kaku 擿
kaku 斯
kaku 書
kaku 爬
kaku 畫
kaku 畵
kaku 舁
kakureiwa 礁
kakureru 乚
kakureru 僾
kakureru 匿
kakureru 廀
kakureru 瞹
kakureru 竄
kakureru 蔵
kakureru 藏
kakureru 蟄
kakureru 蠖
kakureru 陗
kakureru 隐
kakureru 隠
kakureru 隱
kakureru 馗
kakuru 軿
kakuru 輧
kakusu 匸
kakusu 匽
kakusu 匿
kakusu 廀
kakusu 廋
kakusu 秘
kakusu 薆
kakusu 賍
kakusu 贓
kakusu 贜
kakusu 隐
kakusu 隠
kama 划
kama 剳
kama 劄
kama 劆
kama 灶
kama 窑
kama 窯
kama 窰
kama 竃
kama 蒲
kama 釜
kama 釡
kama 鈘
kama 鈼
kama 銍
kama 銼
kama 錡
kama 錪
kama 鍑
kama 鍗
kama 鍥
kama 鍪
kama 鎌
kama 鏺
kama 鐂
kama 鐮
kama 鑊
kama 鬴
kama 鬶
kama 鬹
kamaaeru 构
kamaau 构
kamabisushi 呶
kamabisushi 喧
kamabisushi 嗷
kamabisushi 嘩
kamabisushi 噌
kamabisushi 嚻
kamabisushi 囂
kamabisushi 聒
kamabisushi 聹
kamabisushi 諠
kamabisushi 譁
kamabisushi 讙
kamabisushii 啉
kamabisushii 啋
kamabisushii 嘈
kamabisushii 嘮
kamabisushii 嚾
kamabisushii 詉
kamabisushii 韷
kamachi 框
kamado 灶
kamado 烓
kamado 煁
kamado 爨
kamado 窹
kamado 竃
kamado 竈
kamae 構
kamaeru 冓
kamaeru 扎
kamaeru 搆
kamaeru 構
kamahe 垀
kamaka 釥
kamakiri 蟐
kamanai 嚃
kamanoe 梎
kamasu 叺
kamasu 魳
kamau 構
kame 亀
kame 堈
kame 瓯
kame 瓴
kame 瓶
kame 瓷
kame 瓺
kame 瓻
kame 瓿
kame 甁
kame 甆
kame 甒
kame 甕
kame 甖
kame 甾
kame 缸
kame 罇
kame 鐳
kame 龜
kami 丄
kami 上
kami 啮
kami 噛
kami 嚙
kami 垨
kami 帋
kami 彡
kami 皇
kami 神
kami 紙
kami 髪
kami 髮
kami 齩
kami 龗
kami 神
kamikaesu 呞
kamikazari 幗
kamikirimushi 蠰
kaminari 雷
kaminari 靁
kamishimo 裃
kamizutsumi 纚
kamo 鳧
kamo 鳬
kamo 鴨
kamoji 髢
kamoji 髲
kamoji 鬄
kamome 鴎
kamome 鷖
kamome 鷗
kamoshika 羚
kamosu 酎
kamosu 酦
kamosu 醖
kamosu 醗
kamosu 醞
kamosu 醱
kamosu 醸
kamosu 釀
kamu 儥
kamu 咀
kamu 咋
kamu 咥
kamu 咬
kamu 嘬
kamu 噆
kamu 噍
kamu 噬
kamu 嚼
kamu 囓
kamu 豤
kamu 貇
kamu 齕
kamu 齚
kamu 齟
kamu 齧
kamu 齩
kamu 齮
kamu 齰
kamuro 禿
kamuro 秃
kamusama 呥
kan 燗
kan 疳
kan 癇
kan 罐
kan 鑵
kana 乎
kana 哉
kana 縢
kanabasami 鉆
kanabasami 銸
kanaderu 奏
kanae 鉶
kanae 鎡
kanae 鬲
kanae 鼎
kanae 鼐
kanae 鼑
kanae 鼒
kanaenotsukimono 鉽
kanaenotsukimono 鎘
kanafu 詥
kanagaki 釽
kanagu 錩
kanahodashi 鋜
kanahu 侻
kanamari 鋺
kaname 腎
kaname 要
kanarazu 必
kanashii 哀
kanashii 悲
kanashimi 悲
kanashimu 僾
kanashimu 怊
kanashimu 悢
kanashimu 悲
kanashimu 悷
kanashimu 惊
kanashimu 慬
kanashimu 懎
kanashimu 蕜
kanatoko 鑕
kanau 偭
kanau 勰
kanau 協
kanau 叶
kanau 恊
kanau 諧
kanau 適
kanawa 鉂
kanbashii 皀
kanbashii 芳
kanbashii 蔎
kane 金
kane 釛
kane 鈊
kane 鉦
kane 鋆
kane 鍽
kane 鐘
kanegura 帑
kanekake 鐻
kanekazari 鎛
kanenone 鎤
kaneru 兼
kaneru 摂
kaneru 攝
kaneru 該
kanete 兼
kanezashi 矩
kangae 考
kangaeru 勘
kangaeru 攷
kangaeru 校
kangaeru 案
kangaeru 稽
kangaeru 考
kangamae 凵
kangamiru 鑑
kangamiru 鑒
kangishi 錜
kani 蟹
kani 蠏
kanjiki 梮
kanjiki 檋
kanjiru 感
kanmuri 冕
kanmuri 冠
kanmuri 弁
kanmuri 辧
kanmurinohimo 緌
kanna 鉋
kanna 錑
kanna 鐁
kanna 铇
kannagi 巫
kannuki 扂
kannuki 扃
kannuki 楗
kannuki 閂
kannuki 関
kannuki 閣
kannyou 凵
kano 彼
kanoe 庚
kanoko 麑
kanoto 辛
kansuru 燗
kanzashi 兂
kanzashi 楴
kanzashi 簪
kanzashi 釵
kanzashi 鈿
kanzashi 鎞
kanzou 蕿
kanzou 藼
kanzuu 蘐
kao 顏
kao 顔
kaooru 蘍
kaori 芬
kaori 芳
kaori 薫
kaori 薰
kaori 飶
kaori 香
kaori 馝
kaori 馥
kaori 馨
kaorigusa 蕙
kaorigusa 薫
kaorigusa 薰
kaoru 苾
kaoru 薫
kaoru 薰
kaoru 馥
kaoru 馨
kaowoarau 頮
kara 唐
kara 壳
kara 楎
kara 殻
kara 殼
kara 漢
kara 空
karada 体
karada 腔
karada 臗
karada 躯
karada 躰
karada 軀
karada 軆
karada 骵
karada 體
karadanosama 嬣
karageru 紮
karageru 縢
karai 苛
karai 辛
karai 辣
karakau 揶
karakuri 枢
karakuri 棙
karakuri 樞
karakuri 機
karameru 搦
karameru 纝
karamu 絡
karamu 繯
karamushi 枲
karamushi 苧
karamushi 葈
karana 菠
karanashi 奈
karanashi 柰
kararu 紭
karashi 芥
karashiae 荃
karasu 枯
karasu 烏
karasu 鴉
karasu 鵶
karasukinomimi 鐴
karasumi 鮬
karasumi 鱲
karasuuri 菇
karasuuri 萯
karatachi 枳
karatachi 枸
karaushi 犛
karauta 詩
karazao 枷
karazao 桲
karazao 耞
kare 伊
kare 佢
kare 彼
kare 渠
karei 魪
karei 魬
karei 鰈
karei 鰔
karei 鰨
kareii 鑜
kareii 餉
kareii 饟
karekinone 榸
kareru 嗄
kareru 枯
kareru 槁
kareru 沍
kareru 涸
karetsuchi 埣
kari 仮
kari 借
kari 假
kari 債
kari 刈
kari 権
kari 權
kari 狩
kari 猟
kari 獠
kari 獮
kari 獵
kari 田
kari 甸
kari 畋
kari 苅
kari 苗
kari 蒐
kari 藉
kari 雁
kari 鳫
kari 鴈
kariganeso 蕕
kariine 穧
karimo 釭
karimo 錕
karimogari 殯
karin 櫚
karini 仮
kariru 仮
kariru 借
kariru 僦
kariru 叚
kariru 耤
karitoru 劁
kariyasu 菉
karogaroshii 姼
karonjiru 軽
karonzuru 僄
karonzuru 僈
karoyaka 軽
karoyaka 輕
karu 乂
karu 刈
karu 剼
karu 劁
karu 狩
karu 猟
karu 獵
karu 穫
karu 艾
karu 芟
karu 苅
karu 薙
karu 駆
karu 駈
karu 驅
karui 佡
karui 佻
karui 侻
karui 偞
karui 僄
karui 嫖
karui 徱
karui 緬
karui 軽
karui 輏
karui 輕
karui 輶
karuisama 嫳
karukuutsu 扑
karushiumu 鈣
karyuumu 鉀
kasa 乢
kasa 仐
kasa 傘
kasa 層
kasa 嵩
kasa 暈
kasa 疔
kasa 疽
kasa 痒
kasa 痜
kasa 瘍
kasa 瘙
kasa 瘡
kasa 瘺
kasa 癤
kasa 盖
kasa 笠
kasa 簦
kasa 繖
kasa 葢
kasa 蓋
kasabuta 痂
kasanaru 佹
kasanaru 層
kasanaru 紈
kasane 襲
kasanederomo 褺
kasaneru 套
kasaneru 曡
kasaneru 畳
kasaneru 疂
kasaneru 疊
kasaneru 累
kasaneru 縲
kasaneru 罘
kasaneru 複
kasaneru 褶
kasaneru 貤
kasaneru 鄭
kasaneru 重
kasasagi 舃
kasasagi 舄
kasasagi 鵲
kase 枷
kase 校
kase 械
kase 綛
kasegi 糘
kasegu 稼
kasei 桛
kashi 槝
kashi 樫
kashi 橿
kashi 櫧
kashi 菓
kashigu 炊
kashigu 爨
kashikoi 俐
kashikoi 儇
kashikoi 囜
kashikoi 譓
kashikoi 賢
kashikoi 贒
kashikomaru 畏
kashikoshi 畏
kashimashii 喿
kashimashii 姦
kashimashii 姧
kashimashii 轕
kashira 仟
kashira 孟
kashira 霸
kashira 頁
kashira 頭
kashira 顱
kashira 魁
kashiwa 柏
kashiwa 栢
kashiwa 槲
kashizuki 姆
kashizuku 傅
kashone 淅
kasu 叚
kasu 壂
kasu 渣
kasu 滓
kasu 粕
kasu 粰
kasu 糟
kasu 貸
kasube 鮊
kasube 鲌
kasugai 銯
kasugai 鎹
kasui 鷆
kasui 鷏
kasuka 圠
kasuka 幽
kasuka 微
kasuka 沕
kasuka 緲
kasuka 麼
kasumeru 勡
kasumeru 徼
kasumeru 掠
kasumeru 鈔
kasumetoru 剠
kasumetoru 抄
kasumetoru 頡
kasumi 霞
kasumu 睳
kasumu 瞕
kasumu 霞
kasuri 絣
kasuri 綛
kasuri 緕
kasuri 纃
kata 型
kata 形
kata 方
kata 楥
kata 楷
kata 模
kata 橅
kata 潟
kata 澙
kata 片
kata 糢
kata 肩
kata 象
kataashi 踦
katachi 侗
katachi 像
katachi 容
katachi 形
katachi 状
katachi 皃
katachi 貌
katachi 頌
katachigayoi 頎
katadoru 俏
katadoru 像
katadoru 肖
katadoru 象
katadoru 貌
katagata 旁
katahe 厓
katai 侄
katai 俓
katai 劧
katai 劼
katai 固
katai 堅
katai 塙
katai 嬛
katai 孯
katai 屖
katai 嵪
katai 掔
katai 牢
katai 犀
katai 砎
katai 砝
katai 硈
katai 硬
katai 確
katai 臤
katai 艱
katai 鈵
katai 鑙
katai 難
katai 鞏
katai 鞕
katajikena 忝
katajikena 辱
kataki 仇
kataki 敵
katakoto 唲
kataku 堅
kataku 怘
katakumi 欟
katakuna 嫸
katakuna 頑
katakunaru 殭
katakutoru 捦
katamari 団
katamari 團
katamari 塊
katame 固
katame 怘
katame 睺
katame 瞎
katameru 固
katameru 飭
katami 匪
katami 篹
katami 胖
katamini 迭
kataminomono 簂
katamukeru 傾
katamukeru 夨
katamuku 仄
katamuku 傾
katamuku 昃
katamuku 昳
katamuku 觭
katana 刀
katanosageo 韄
katanugu 倮
katanugu 袒
kataru 嗑
kataru 嚕
kataru 拐
kataru 訔
kataru 語
kataru 談
kataru 騗
kataru 騙
katashi 囏
katashiro 尸
katashiro 祢
katashiro 禰
katatagahi 傂
katatagai 俿
katatsumuri 蝓
katatsumuri 蝸
katatsumuri 蠃
katawa 畸
katawa 癈
katawara 側
katawara 傍
katawara 旁
katayoru 偏
katayoru 憸
katayoru 薜
katayoru 詖
katayoru 遹
katayoru 頗
kate 粮
kate 粻
kate 糈
kate 糧
katsu 且
katsu 克
katsu 剋
katsu 勀
katsu 勝
katsu 尅
katsu 戡
katsu 捷
katsu 旔
katsugu 夯
katsugu 扛
katsugu 担
katsugu 掮
katsugu 搩
katsugu 擔
katsuo 鮦
katsuo 鰹
katsuomushi 蠓
katsuomushi 蠛
katsura 桂
katsura 楿
katsura 蘰
katsura 鬘
kattai 癩
katte 嘗
katte 曽
katte 曾
katte 甞
kau 交
kau 沽
kau 牧
kau 畜
kau 買
kau 飼
kau 飼
kawa 側
kawa 巛
kawa 川
kawa 汜
kawa 河
kawa 皮
kawa 皽
kawa 臚
kawa 革
kawa 韐
kawagoromo 裘
kawagushi 靿
kawagushi 鞮
kawagutsu 鞨
kawahagi 鮍
kawahagi 鲏
kawakasu 乹
kawakasu 乾
kawakasu 暵
kawakasu 烜
kawakasu 焅
kawakasu 焇
kawaki 渇
kawaki 渴
kawaku 乹
kawaku 乾
kawaku 晞
kawaku 曔
kawaku 渇
kawaku 渴
kawaku 燥
kawara 瓦
kawara 甎
kawara 甓
kawara 磚
kawara 磧
kawarage 駱
kawarayanagi 檉
kawarayomogi 薛
kawarayomogi 薼
kawarayomugi 蔯
kawariau 岱
kawaru 代
kawaru 化
kawaru 变
kawaru 吪
kawaru 変
kawaru 忒
kawaru 恑
kawaru 换
kawaru 換
kawaru 替
kawaru 渝
kawaru 譁
kawaru 變
kawaru 賁
kawaru 迭
kawaru 逓
kawaru 遞
kawaru 遬
kawasemi 翆
kawasemi 翠
kawasemi 翡
kawasemi 鴗
kawasu 焇
kawasu 躱
kawasu 躲
kawauso 獺
kawaya 厠
kawaya 圂
kawaya 圊
kawaya 廁
kaya 㡡
kaya 幮
kaya 柀
kaya 栢
kaya 榧
kaya 茅
kaya 茆
kaya 茨
kaya 萱
kaya 蕿
kaya 藼
kaya 蘐
kayou 通
kayowai 孅
kayu 俼
kayu 粥
kayu 粰
kayu 糜
kayu 飦
kayu 餗
kayu 餬
kayu 饘
kayu 鬻
kayui 痆
kayui 痒
kayui 癢
kaza 飌
kazari 珌
kazari 璪
kazari 璯
kazari 鉜
kazari 錺
kazari 飾
kazari 餝
kazarihimo 纓
kazarike 氅
kazaru 塈
kazaru 墍
kazaru 掚
kazaru 文
kazaru 賁
kazaru 鉘
kazaru 飾
kazaru 餝
kazasu 翳
kaze 凨
kaze 凮
kaze 風
kaze 飌
kazoeru 僎
kazoeru 揲
kazoeru 数
kazoeru 數
kazoeru 祘
kazoeru 笇
kazoeru 筭
kazoeru 算
kazoeru 計
kazoheru 峜
kazu 僎
kazu 員
kazu 数
kazu 數
kazu 算
kazuki 幜
kazunoko 鯑
kazura 藟
kazura 虆
kazutori 策
kazutori 籌
kazutori 籖
kazutori 籤
ke 毛
ke 氉
kedamono 獣
kegaareru 汙
kegaarerukegaaruwashii 汙
kegaasu 汙
keganagai 毿
kegare 涜
kegare 瀆
kegare 穢
kegareru 媟
kegareru 汚
kegareru 污
kegareru 溷
kegareru 穢
kegareru 褻
kegareru 黷
kegasu 俒
kegasu 媟
kegasu 嫚
kegasu 汚
kegasu 污
kegasu 浼
kegasu 涜
kegasu 瀆
kegasu 遦
kegasu 黷
kehashii 岏
kehashii 嵃
kehashii 阸
kehashii 陒
kehashii 陗
kehashiisaka 陗
kehashiisama 嵃
kehashiisama 廞
kehashikutakai 陗
kei 殸
kei 罫
keigamae 冋
keigashira 彐
keisan 亠
kekazari 毦
kemari 毱
kemisuru 閱
kemisuru 閲
kemono 獣
kemono 獸
kemono 虒
kemono 貐
kemono 貙
kemonohen 犭
kemudashi 囪
kemudashi 囱
kemudashi 窗
kemui 烟
kemui 煙
kemuri 烟
kemuri 煙
kemuru 烟
kemuru 煙
kemushi 蟖
kemushi 蠋
kemushiro 毯
kemushiro 毹
ken 徤
ken 腱
ken 鈰
kenken 踅
kenuki 銸
kenuki 鑷
keori 絨
kera 蛄
kera 螻
kera 鉧
kerai 儓
kerai 臣
keri 鳧
keri 鳬
keru 跧
keru 踢
keru 蹴
kesa 畩
keshiki 景
kesu 消
kesu 銷
keta 桁
keta 檁
keta 檩
kewaashii 礆
kewashii 坨
kewashii 塧
kewashii 岴
kewashii 峣
kewashii 峩
kewashii 峭
kewashii 峴
kewashii 峻
kewashii 崄
kewashii 崎
kewashii 崒
kewashii 嵂
kewashii 嵜
kewashii 嵯
kewashii 嵳
kewashii 嶃
kewashii 嶄
kewashii 嶇
kewashii 嶢
kewashii 嶬
kewashii 嶮
kewashii 嶸
kewashii 巃
kewashii 巇
kewashii 巌
kewashii 巖
kewashii 碞
kewashii 磈
kewashii 磛
kewashii 磪
kewashii 阻
kewashii 陀
kewashii 険
kewashii 隗
kewashii 險
kewashiisama 嶔
keyaki 欅
keyaki 𣟱
kezume 距
kezuru 刊
kezuru 刓
kezuru 删
kezuru 刡
kezuru 刨
kezuru 刪
kezuru 刬
kezuru 刮
kezuru 削
kezuru 剗
kezuru 剜
kezuru 剟
kezuru 剡
kezuru 剷
kezuru 剹
kezuru 劀
kezuru 劂
kezuru 劖
kezuru 劘
kezuru 殺
kezuru 釗
kezuru 鎊
kezushikeru 刅
ki 寸
ki 木
ki 樹
ki 氛
ki 黃
ki 黄
kiasa 蕉
kiba 牙
kibi 稷
kibi 粢
kibi 黍
kibisake 酏
kibishii 伋
kibishii 厳
kibishii 嚴
kibishii 屭
kibishii 峭
kibishii 絅
kibishii 絿
kibishii 緊
kibishii 覈
kibishii 辣
kibishii 酷
kibishii 陗
kibishiisama 嗃
kichigai 抂
kichigai 狂
kichigai 瘋
kida 墄
kida 墱
kida 隥
kidetsukutsutaooyumi 梈
kieru 消
kieru 熄
kigaagarinusu 宯
kigawakakusakannasama 枖
kigire 棵
kigire 橦
kigire 爿
kiichigu 葥
kiiro 黈
kiiroi 顑
kiisama 侓
kiito 純
kiito 綃
kiji 榡
kiji 樸
kiji 素
kiji 翟
kiji 雉
kiji 鵫
kijihashi 坒
kikanai 聱
kikoe 聞
kikoeru 聞
kikori 樵
kikori 蕘
kikoru 樵
kiku 利
kiku 効
kiku 效
kiku 聆
kiku 聞
kiku 聴
kiku 聼
kiku 聽
kikuimushi 蛀
kikuimushi 蝤
kikuimushi 蠧
kikuimushi 蠹
kikuitadaki 鶎
kikunohana 菊
kikurage 檽
kikurage 薷
kimaru 決
kime 腠
kimeru 决
kimeru 夬
kimeru 決
kimi 侯
kimi 公
kimi 卿
kimi 后
kimi 君
kimi 王
kimi 皇
kimi 辟
kimo 肝
kimo 胆
kimo 膻
kimo 膽
kimono 服
kimonohirogaru 袳
kinchiyaku 褵
kine 杵
kine 鈝
kiniiri 嬖
kinma 荖
kinoe 甲
kinoko 圥
kinoko 茸
kinoko 菌
kinoko 蕈
kinoto 乙
kinotogi 枛
kinou 昨
kintama 睾
kinu 帛
kinu 幜
kinu 紦
kinu 絸
kinu 絹
kinu 緭
kinu 縑
kinu 繒
kinugasa 繖
kinugasa 翳
kinunoaya 紪
kinunoaya 縬
kinuta 矸
kinuta 砧
kinuta 碪
kirau 嫌
kire 切
kire 片
kiri 切
kiri 桐
kiri 錐
kiri 錑
kiri 鍴
kiri 鑚
kiri 鑽
kiri 雰
kiri 雺
kiri 霚
kiri 霧
kirigirisu 蛬
kirihashi 柮
kirikabu 柤
kirikabu 梼
kirikabu 檮
kirimado 閝
kirimi 胾
kirimi 膞
kirimi 臠
kirimigaku 剒
kiriwara 莝
kiroguramu 瓩
kiromeetoru 粁
kirorittoru 竏
kiru 伐
kiru 刃
kiru 切
kiru 刋
kiru 刌
kiru 刖
kiru 刴
kiru 剁
kiru 剢
kiru 剪
kiru 剴
kiru 剸
kiru 剺
kiru 劋
kiru 劗
kiru 劚
kiru 妎
kiru 戜
kiru 截
kiru 斫
kiru 斬
kiru 斮
kiru 斲
kiru 服
kiru 牫
kiru 着
kiru 砍
kiru 翦
kiru 衣
kiru 被
kiru 釿
kiru 銽
kiru 鐫
kiru 鑚
kiru 鑽
kisaki 后
kisaki 妃
kishi 厓
kishi 圩
kishi 垠
kishi 堮
kishi 墺
kishi 岸
kishi 崿
kishi 涯
kishi 潨
kishigataka 屵
kishiru 軋
kishiru 輾
kishiru 轢
kishiru 轣
kisohu 倞
kisou 埆
kisou 競
kisou 竸
kissaki 釯
kisu 鱚
kita 北
kitaaeru 煅
kitaeru 段
kitaeru 釟
kitaeru 鈉
kitaeru 鍛
kitaeru 鍜
kitaheru 鏅
kitanai 汚
kitanai 污
kitanai 髒
kitaru 来
kitaru 逨
kitsune 狐
kitsuneaza 莪
kitsuneaza 菻
kitsusaki 鉾
kitsusaki 鋩
kitsusaki 铓
kiwa 倪
kiwa 際
kiwaamaru 竆
kiwaameru 竆
kiwada 檗
kiwada 蘗
kiwamaru 慸
kiwamaru 極
kiwamaru 究
kiwamaru 窮
kiwamaru 谷
kiwamaru 鞫
kiwameru 忓
kiwameru 極
kiwameru 究
kiwameru 窮
kiwameru 鞫
kiyoi 偣
kiyoi 偰
kiyoi 嚠
kiyoi 汧
kiyoi 泚
kiyoi 清
kiyoi 湑
kiyoi 湜
kiyoi 漌
kiyoi 潚
kiyoi 潾
kiyoi 澃
kiyoi 澈
kiyoi 澯
kiyoi 瀏
kiyoi 皟
kiyoi 皧
kiyoi 絜
kiyomeru 泴
kiyomeru 淸
kiyomeru 清
kiyoshi 瀟
kizahashi 坻
kizahashi 墀
kizahashi 墑
kizahashi 阼
kizahashi 陖
kizahashi 陛
kizahashi 階
kizahashi 隥
kizami 刻
kizamu 刊
kizamu 刻
kizamu 剞
kizamu 契
kizamu 彔
kizamu 栔
kizamu 鋕
kizamu 鋟
kizamu 鍥
kizamu 鑯
kizamu 雕
kizamu 鵰
kizashi 兆
kizashi 幾
kizashi 朕
kizashi 禨
kizasu 兆
kizasu 萌
kizasu 萠
kizu 傷
kizu 剙
kizu 創
kizu 呰
kizu 戧
kizu 瑕
kizu 疵
kizu 痆
kizu 痍
kizu 瘌
kizu 瘢
kizuitami 痆
kizuku 坉
kizuku 城
kizuku 殾
kizuku 築
kizuna 紲
kizuna 絆
kizuna 絏
kizuna 緤
kizuna 縻
kizuna 靽
kizutsuku 刱
ko 个
ko 個
ko 児
ko 兒
ko 子
ko 小
ko 箇
ko 粉
kobachi 碗
kobachi 鋗
kobako 鉩
kobako 銸
kobamu 拒
kobamu 搶
kobanga 橢
kobato 鵻
kobato 鸊
kobihetsura 閹
kobihetsurau 俙
kobihetsurau 匼
kobiritsuku 痼
kobiru 哫
kobiru 姢
kobiru 娟
kobiru 娬
kobiru 媚
kobiru 嫵
kobiru 蠱
kobito 豎
koboke 柤
koboke 樝
kobone 骮
koboreru 零
kobotsu 毀
kobotsu 毁
kobu 瘤
kobu 癅
kobu 癭
kobunagusa 藎
kobune 舲
kobune 艖
kobune 艚
kobushi 拳
kochi 魥
kochi 鮲
kochi 鯒
kochi 鲬
kodama 岈
kodama 蜽
kodama 谺
kodama 魎
kodameki 豾
kodanuki 狉
kodomo 偅
kodomo 囝
kodomo 崽
kodomo 竪
koe 僁
koe 吆
koe 吜
koe 吤
koe 吵
koe 咴
koe 咾
koe 哄
koe 哱
koe 唎
koe 啊
koe 喓
koe 嗃
koe 嗘
koe 嗿
koe 嘭
koe 嘮
koe 噃
koe 噈
koe 嚁
koe 嚂
koe 嚱
koe 囉
koe 囋
koe 囐
koe 声
koe 殸
koe 聲
koe 肥
koe 胶
koe 詇
koe 詓
koeda 樤
koeda 葼
koenosama 吱
koenosama 咭
koeru 沃
koeru 肥
koeru 肪
koeru 肭
koeru 腯
koeru 腴
koeru 膆
koeru 超
koeru 越
koeru 趙
koeru 跇
koeru 踰
koeru 躝
koeru 逾
koeru 隃
koeru 駜
kogame 儋
kogame 魥
kogane 釛
kogane 鉙
kogane 鏋
kogarashi 凩
kogasu 焦
kogeru 焦
kogeru 蕉
kogoe 吆
kogoeru 凍
kogome 粞
kogome 糏
kogu 棹
kogu 漕
kohai 鋅
kohaze 鞐
kohishitahu 嫪
kohitsuji 羔
kohitsuji 羜
koi 乞
koi 恋
koi 戀
koi 濃
koi 請
koi 醕
koi 釅
koi 鯉
koi 鱣
koinegau 兾
koinegau 冀
koinegau 希
koinegau 庶
koinegau 庻
koinegau 覦
koinegawa 冀
koishi 礫
koishii 恋
koishii 戀
koishitau 婟
kojiri 鏢
kojiri 鐺
kokage 樾
koke 苔
koke 蘚
kokera 杮
koko 是
koko 此
koko 茊
kokochiyoi 娎
kokoni 于
kokoni 爰
kokoni 玆
kokoni 粤
kokoni 粵
kokoni 聿
kokonotsu 九
kokoro 心
kokoro 恉
kokoro 情
kokoro 意
kokoro 精
kokoro 精
kokorogatagau 愢
kokoromidareru 憹
kokoromiru 嘗
kokoromiru 揣
kokoromiru 甞
kokoromiru 試
kokoromiru 課
kokoroyoi 噲
kokoroyoi 快
kokoroyoi 愃
