a 呀
ana 坑
ana 埂
ana 埯
ana 堀
ana 壍
ana 壙
ana 壢
ana 壧
ana 孔
ana 屇
ana 嵌
ana 涓
ana 穴
ana 穵
ana 窞
ana 竅
ana 竇
ana 竉
ana 膸
ana 軹
ana 阬
ana 阱
anadori 侮
anadoru 侮
anadoru 傲
anadoru 僈
anadoru 奡
anadoru 媟
anadoru 媸
anadoru 嫚
anadoru 忼
anadoru 怇
anadoru 怭
anadoru 慢
anadoru 敡
anadoru 狎
anadoru 蚩
anadoru 謾
anagura 窖
ananisuru 坑
anaoakeru 矞
ane 姉
ane 姊
ane 姐
ane 姒
ane 娰
ane 媭
ane 嬃
ane 嬭
anego 姐
ani 兄
ani 庸
ani 昆
ani 罤
ani 豈
anko 餡
anyome 嫂
anzu 杏
ao 碧
ao 蒼
ao 襖
ao 靑
ao 青
aoakagi 藋
aogaeru 黽
aogiri 梧
aogo 屵
aogu 仰
aogu 佒
aogu 僸
aogu 厃
aogu 忋
aogu 郤
aoguro 黝
aoguroi 黤
aoguroi 黭
aoi 葵
aoi 蒼
aoi 靑
aoi 青
aomono 蔬
aomuke 佒
aomukibana 鼿
aoru 仰
aoru 呷
aoru 煽
aoumigame 魭
aoumigame 黿
appare 遖
aradori 鷙
aragane 丱
aragane 卝
aragane 砿
aragane 磺
aragane 礦
aragane 釙
aragane 鉱
aragane 鎀
aragane 鏷
aragane 鑛
arai 婁
arai 洗
arai 獷
arai 笨
arai 粗
arai 糲
arai 翨
arai 荒
arai 覰
arai 觕
arai 誙
arai 鷙
arai 麁
arai 麤
arakajime 予
arakajime 忬
arakajime 豫
arakajime 逆
arakajime 預
araki 棌
araki 樸
aranuno 襏
arare 霰
arashi 嵐
arashi 猂
arashi 踈
arashio 盬
arasoi 争
arasoiiu 誩
arasou 争
arasou 爭
arasou 訟
arasou 諍
arasou 辯
arasou 鬥
arasou 鬬
arasou 鬭
arasu 荒
arata 新
arata 畬
arata 畭
arata 畲
aratama 璞
aratamaru 改
aratamaru 革
aratame 改
aratameru 悛
aratameru 改
aratameru 更
aratameru 革
arato 砺
arato 礪
arau 摡
arau 沐
arau 洒
arau 洗
arau 洮
arau 浣
arau 湔
arau 滌
arau 澡
arau 澣
arau 濯
arau 盪
arauma 駻
arawareru 形
arawareru 彰
arawareru 炅
arawareru 現
arawareru 皛
arawareru 露
arawareru 顕
arawashishimesu 喣
arawasu 僝
arawasu 旌
arawasu 現
arawasu 璋
arawasu 著
arawasu 表
arazu 匪
arazu 否
arazu 非
arechi 菑
arechi 葘
areno 艽
areru 荒
areru 蕢
areru 蕪
areru 薉
ari 螘
ari 蟻
arizuka 垤
arizuka 墥
aru 在
aru 存
aru 或
aru 有
aruiha 或
aruiwa 儻
aruji 主
aruku 步
aruku 歩
aruku 逳
aruminyuumu 鋁
aruu 汏
asa 旴
asa 昕
asa 晁
asa 曟
asa 朝
asa 絜
asa 蔴
asa 麻
asagao 蕣
asagara 莇
asagi 緗
asagi 菨
asagu 堲
asahaka 詑
asahi 旭
asahi 暾
asai 俴
asai 愇
asai 浅
asai 淺
asai 謭
asai 譾
asaito 縝
asari 蜊
asari 鯏
asaza 荇
asaza 莕
asaza 蒖
ase 汗
asemo 疿
aseru 焦
aseru 褪
ashi 止
ashi 疋
ashi 脚
ashi 芦
ashi 苹
ashi 葦
ashi 葭
ashi 蘆
ashi 足
ashi 趺
ashi 趾
ashi 踋
ashiato 禸
ashiato 踑
ashiato 迒
ashibue 笳
ashige 騅
ashige 驄
ashikase 桎
ashikase 釱
ashikase 鋜
ashikase 鐐
ashikiku 跀
ashikiru 兀
ashikiru 剕
ashikiru 兀
ashimatsui 蛼
ashinae 尢
ashinae 尩
ashinae 尬
ashinae 尮
ashinae 尯
ashinae 蹇
ashinoho 茢
ashinokou 跗
ashinoura 跖
ashinoura 蹠
ashinoura 蹯
ashioto 跫
ashita 旦
ashita 晨
ashita 曟
ashita 朝
ashitakagumo 蠨
asobi 游
asobi 逰
asobi 遊
asobime 娼
asobu 敖
asobu 游
asobu 逰
asobu 遃
asobu 遊
asobu 遨
ataeru 与
ataeru 予
ataeru 付
ataeru 匃
ataeru 捐
ataeru 歛
ataeru 與
ataeru 賙
ataerumono 畀
ataheru 埤
atai 估
atai 価
atai 値
atai 值
atai 傭
atai 價
atai 沽
atakamo 宛
atakamo 恰
atama 腦
atama 頭
atama 髗
atama 鸕
atamanokazari 幋
atamawoageru 頍
atarashii 新
atarashii 鱻
atari 边
atari 辺
atari 邉
atari 邊
atarimaederui 儅
ataru 丁
ataru 中
